USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
VT	5002702725	01462033	Barnard town	A	124407498	613368	48.034	0.237	43.726987	-72.633254                                                                                                                
VT	5002705800	01462043	Bethel town	A	117835268	685956	45.496	0.265	43.860579	-72.694238                                                                                                                 
VT	5002708275	01462050	Bridgewater town	A	128160488	352346	49.483	0.136	43.6404	-72.689745                                                                                                              
VT	5002712250	01462066	Cavendish town	A	102045909	572283	39.4	0.221	43.398536	-72.599916                                                                                                                
VT	5002713675	01462070	Chester town	A	144290221	670388	55.711	0.259	43.285577	-72.629748                                                                                                                
VT	5002732275	01462116	Hartford town	A	116836775	2282173	45.111	0.881	43.664684	-72.386138                                                                                                              
VT	5002732425	01462117	Hartland town	A	117145787	812801	45.23	0.314	43.580511	-72.438911                                                                                                                
VT	5002741275	01462138	Ludlow town	A	90002333	1366176	34.75	0.527	43.395316	-72.703822                                                                                                                  
VT	5002752900	01462166	Norwich town	A	115239694	666795	44.494	0.257	43.777633	-72.324007                                                                                                                
VT	5002756050	01462176	Plymouth town	A	124771309	1452036	48.174	0.561	43.508847	-72.693634                                                                                                              
VT	5002756350	01462177	Pomfret town	A	102240236	200425	39.475	0.077	43.699606	-72.511764                                                                                                                
VT	5002758375	01462183	Reading town	A	106434498	484148	41.095	0.187	43.496493	-72.599969                                                                                                                
VT	5002760100	01462188	Rochester town	A	147227716	787378	56.845	0.304	43.879408	-72.831685                                                                                                              
VT	5002760850	01462191	Royalton town	A	104569048	1489673	40.374	0.575	43.814534	-72.552851                                                                                                              
VT	5002763775	01462204	Sharon town	A	103103246	1298458	39.808	0.501	43.787575	-72.435173                                                                                                                
VT	5002769550	01462214	Springfield town	A	127458768	1097226	49.212	0.424	43.292029	-72.480418                                                                                                           
VT	5002770375	01462218	Stockbridge town	A	118581821	708170	45.785	0.273	43.750797	-72.760914                                                                                                            
VT	5002777500	01462247	Weathersfield town	A	112687152	1452148	43.509	0.561	43.392109	-72.476784                                                                                                         
VT	5002782000	01462255	Weston town	A	91611397	509317	35.371	0.197	43.321441	-72.802903                                                                                                                  
VT	5002783050	01462257	West Windsor town	A	64025412	236018	24.72	0.091	43.471468	-72.502618                                                                                                             
VT	5002784925	01462266	Windsor town	A	50267370	720120	19.408	0.278	43.475357	-72.421045                                                                                                                 
VT	5002785975	01462272	Woodstock town	A	114095175	734946	44.052	0.284	43.594377	-72.548279                                                                                                              
